number,status,characters,reason
1,ALREADY_EXISTS,,
2,DOWNLOADED,5660,
3,DOWNLOADED,6519,
4,DOWNLOADED,5866,
5,DOWNLOADED,5892,
6,DOWNLOADED,8380,
7,DOWNLOADED,6692,
8,DOWNLOADED,9160,
9,DOWNLOADED,12039,
10,FAILED,,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b1f6abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff7b1f6ac10+15210]
	chromedriver!(No symbol) [0x7ff7b1a95d6d]
	chromedriver!(No symbol) [0x7ff7b1af1289]
	chromedriver!(No symbol) [0x7ff7b1af158c]
	chromedriver!(No symbol) [0x7ff7b1b42027]
	chromedriver!(No symbol) [0x7ff7b1b3ec0b]
	chromedriver!(No symbol) [0x7ff7b1ae37cc]
	chromedriver!(No symbol) [0x7ff7b1ae46f3]
	chromedriver!GetHandleVerifier [0x7ff7b258b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff7b2585ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff7b25abcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff7b1f88ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff7b1f9147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff7b1f74d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff7b1f74ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff7b1f57d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffed62dccb7+17]
	ntdll!RtlUserThreadStart [0x7ffed742ad6c+2c]
"
11,FAILED,,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b1f6abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff7b1f6ac10+15210]
	chromedriver!(No symbol) [0x7ff7b1a95d6d]
	chromedriver!(No symbol) [0x7ff7b1af1289]
	chromedriver!(No symbol) [0x7ff7b1af158c]
	chromedriver!(No symbol) [0x7ff7b1b42027]
	chromedriver!(No symbol) [0x7ff7b1b3ec0b]
	chromedriver!(No symbol) [0x7ff7b1ae37cc]
	chromedriver!(No symbol) [0x7ff7b1ae46f3]
	chromedriver!GetHandleVerifier [0x7ff7b258b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff7b2585ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff7b25abcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff7b1f88ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff7b1f9147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff7b1f74d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff7b1f74ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff7b1f57d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffed62dccb7+17]
	ntdll!RtlUserThreadStart [0x7ffed742ad6c+2c]
"
12,FAILED,,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b1f6abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff7b1f6ac10+15210]
	chromedriver!(No symbol) [0x7ff7b1a95d6d]
	chromedriver!(No symbol) [0x7ff7b1af1289]
	chromedriver!(No symbol) [0x7ff7b1af158c]
	chromedriver!(No symbol) [0x7ff7b1b42027]
	chromedriver!(No symbol) [0x7ff7b1b3ec0b]
	chromedriver!(No symbol) [0x7ff7b1ae37cc]
	chromedriver!(No symbol) [0x7ff7b1ae46f3]
	chromedriver!GetHandleVerifier [0x7ff7b258b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff7b2585ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff7b25abcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff7b1f88ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff7b1f9147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff7b1f74d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff7b1f74ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff7b1f57d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffed62dccb7+17]
	ntdll!RtlUserThreadStart [0x7ffed742ad6c+2c]
"
13,FAILED,,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b1f6abb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff7b1f6ac10+15210]
	chromedriver!(No symbol) [0x7ff7b1a95d6d]
	chromedriver!(No symbol) [0x7ff7b1af1289]
	chromedriver!(No symbol) [0x7ff7b1af158c]
	chromedriver!(No symbol) [0x7ff7b1b42027]
	chromedriver!(No symbol) [0x7ff7b1b3ec0b]
	chromedriver!(No symbol) [0x7ff7b1ae37cc]
	chromedriver!(No symbol) [0x7ff7b1ae46f3]
	chromedriver!GetHandleVerifier [0x7ff7b258b79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff7b2585ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff7b25abcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff7b1f88ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff7b1f9147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff7b1f74d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff7b1f74ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff7b1f57d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffed62dccb7+17]
	ntdll!RtlUserThreadStart [0x7ffed742ad6c+2c]
"
