name,url,status,characters,file,error
عن الهيئة,https://www.lloc.gov.bh/page/عن%20الهيئة,DOWNLOADED,3009,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\عن الهيئة.txt,
المهام والواجبات,https://www.lloc.gov.bh/page/المهام%20والواجبات,DOWNLOADED,4161,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\المهام والواجبات.txt,
كلمة الرئيس,https://www.lloc.gov.bh/page/كلمة%20الرئيس,DOWNLOADED,5154,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\كلمة الرئيس.txt,
قانون الهيئة,https://www.lloc.gov.bh/page/قانون%20الهيئة,DOWNLOADED,8679,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\قانون الهيئة.txt,
الإدارة التنفيذية,https://www.lloc.gov.bh/page/الإدارة%20التنفيذية,DOWNLOADED,1473,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\الإدارة التنفيذية.txt,
الهيكل التنظيمي,https://www.lloc.gov.bh/page/الهيكل%20التنظيمي,DOWNLOADED,871,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\الهيكل التنظيمي.txt,
الإدارات,https://www.lloc.gov.bh/page/الإدارات,DOWNLOADED,9027,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\الإدارات.txt,
المجالس,https://www.lloc.gov.bh/page/المجالس,DOWNLOADED,2345,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\المجالس.txt,
تاريخنا,https://www.lloc.gov.bh/page/تاريخنا,DOWNLOADED,11954,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\تاريخنا.txt,
أهداف التنمية المستدامة,https://www.lloc.gov.bh/page/أهداف%20التنمية%20المستدامة,DOWNLOADED,4740,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_About\أهداف التنمية المستدامة.txt,
