category,page,legislation_index,legislation_code,title_ar,date,official_gazette_number,text_url,local_file,status,characters
التشريعات البيئية,1,1,K0521,"+
قانون رقم (5) لسنة 2021 بشأن تنظيم ومراقبة التجارة الدولية في الأنواع المهدَّدة بالانقراض من مجموعات الحيوان والنبات الفِطْرية
------------------
Law No. (5) of 2021 Regarding the Regulation and Control of the International Trade in Groups of Endangered Species of Animal and Fungal Plants 
التاريخ : 4-مارس-2021 رقم الجريدة الرسمية : 3513 ملحق",4-مارس-2021 رقم الجريدة الرسمية : 3513 ملحق,3513 ملحق,https://www.lloc.gov.bh/Legislation/HTM/K0521,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K0521.txt,DOWNLOADED,23469
التشريعات البيئية,1,2,K1019,"+
قانون رقم (10) لسنة 2019 بشأن النظافة العامة
------------------
Law No. (10) of 2019 regarding General Hygiene 
التاريخ : 30-مايو-2019 رقم الجريدة الرسمية : 3421",30-مايو-2019 رقم الجريدة الرسمية : 3421,3421,https://www.lloc.gov.bh/Legislation/HTM/K1019,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K1019.txt,DOWNLOADED,10427
التشريعات البيئية,1,3,K3418,"+
قانون رقم (34) لسنة 2018 بإصدار قانون الصحة العامة
------------------
Law No. (34) of 2018 promulgating the Public Health Law 
التاريخ : 2-أغسطس-2018 رقم الجريدة الرسمية : 3377",2-أغسطس-2018 رقم الجريدة الرسمية : 3377,3377,https://www.lloc.gov.bh/Legislation/HTM/K3418,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K3418.txt,DOWNLOADED,158
التشريعات البيئية,1,4,K0916,"+
قانون رقم (9) لسنة 2016 بشأن المواصفات والمقاييس
------------------
Law No. (9) of 2016 regarding Specifications and Measures 
التاريخ : 28-أبريل-2016 رقم الجريدة الرسمية : 3259",28-أبريل-2016 رقم الجريدة الرسمية : 3259,3259,https://www.lloc.gov.bh/Legislation/HTM/K0916,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K0916.txt,DOWNLOADED,158
التشريعات البيئية,1,5,K3714,"+
قانون رقم (37) لسنة 2014 بشأن تنظيم عملية استخراج الرمال البحرية وبيعها
------------------
Law No. (37) of 2014 regarding regulating the Extraction and Sale of Sea Sand 
التاريخ : 28-أغسطس-2014 رقم الجريدة الرسمية : 3171",28-أغسطس-2014 رقم الجريدة الرسمية : 3171,3171,https://www.lloc.gov.bh/Legislation/HTM/K3714,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K3714.txt,DOWNLOADED,5347
التشريعات البيئية,1,6,L4712,"+
مرسوم بقانون رقم (47) لسنة 2012 بإنشاء وتنظيم المجلس الأعلى للبيئة
------------------
Legislative Decree No. (47) of 2012 establishment and Organization of the Supreme Council for Environment 
التاريخ : 27-سبتمبر-2012 رقم الجريدة الرسمية : 3071",27-سبتمبر-2012 رقم الجريدة الرسمية : 3071,3071,https://www.lloc.gov.bh/Legislation/HTM/L4712,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\L4712.txt,DOWNLOADED,2843
التشريعات البيئية,1,7,K0809,"+
قانون رقم (8) لسنة 2009 بشأن مكافحة التدخين والتبغ بأنواعه
------------------
Law No. (8) of 2009 regarding Combating Smoking and All Types of Tobacco
التاريخ : 16-أبريل-2009 رقم الجريدة الرسمية : 2891",16-أبريل-2009 رقم الجريدة الرسمية : 2891,2891,https://www.lloc.gov.bh/Legislation/HTM/K0809,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K0809.txt,DOWNLOADED,158
التشريعات البيئية,1,8,K6106,"+
قانون رقم (61) لسنة 2006 بإصدار قانون المؤسسة العامة للموانئ البحرية
------------------
LEGISLATIVE DECREE NO. (61) OF 2006 WITH RESPECT TO PROMULGATING THE LAW OFTHE PORTSANDMARINE NAVIGATION AFFAIRS
التاريخ : 6-سبتمبر-2006 رقم الجريدة الرسمية : 2755",6-سبتمبر-2006 رقم الجريدة الرسمية : 2755,2755,https://www.lloc.gov.bh/Legislation/HTM/K6106,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K6106.txt,DOWNLOADED,13065
التشريعات البيئية,1,9,K5306,"+
قانون رقم (53) لسنة 2006 باعتبار خليج توبلي منطقة محمية طبيعية
------------------
Law No. (53) of 2006 Designating Tubli Bay as a Natural Protected Area
التاريخ : 9-أغسطس-2006 رقم الجريدة الرسمية : 2751",9-أغسطس-2006 رقم الجريدة الرسمية : 2751,2751,https://www.lloc.gov.bh/Legislation/HTM/K5306,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K5306.txt,DOWNLOADED,3066
التشريعات البيئية,1,10,K3306,"+
قانون رقم (33) لسنة 2006 بشأن الصرف الصحي وصرف المياه السطحية
------------------
Law No. (33) of 2006 regarding Sewage Disposal and Surface Water Drainage
التاريخ : 26-يوليو-2006 رقم الجريدة الرسمية : 2749",26-يوليو-2006 رقم الجريدة الرسمية : 2749,2749,https://www.lloc.gov.bh/Legislation/HTM/K3306,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات البيئية\K3306.txt,DOWNLOADED,11303
التشريعات الجنائية,1,1,K0421,"+
قانون رقم (4) لسنة 2021 بإصدار قانون العدالة الإصلاحية للأطفال وحمايتهم من سوء المعاملة
------------------
LAW NO. (4) OF 2021 PROMULGATING THE RESTORATIVE JUSTICE LAW FOR CHILDREN AND THEIR PROTECTION FROM MALTREATMENT
التاريخ : 18-فبراير-2021 رقم الجريدة الرسمية : 3511",18-فبراير-2021 رقم الجريدة الرسمية : 3511,3511,https://www.lloc.gov.bh/Legislation/HTM/K0421,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات الجنائية\K0421.txt,DOWNLOADED,158
التشريعات الجنائية,1,2,L2219,"+
مرسوم بقانون رقم (22) لسنة 2019 بشأن الوساطة لتسوية المنازعات
------------------
Legislative Decree No. (22) of 2019 regarding the Mediation for the Resolution of Disputes 
التاريخ : 3-أكتوبر-2019 رقم الجريدة الرسمية : 3439",3-أكتوبر-2019 رقم الجريدة الرسمية : 3439,3439,https://www.lloc.gov.bh/Legislation/HTM/L2219,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات الجنائية\L2219.txt,DOWNLOADED,158
التشريعات الجنائية,1,3,L4418,"+
مرسوم بقانون رقم (44) لسنة 2018 بإصدار قانون الجرائم الدولية
------------------
Legislative Decree No. (44) of 2018 promulgating the International Crimes Law 
التاريخ : 6-أكتوبر-2018 رقم الجريدة الرسمية : 3387",6-أكتوبر-2018 رقم الجريدة الرسمية : 3387,3387,https://www.lloc.gov.bh/Legislation/HTM/L4418,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Legislations\التشريعات الجنائية\L4418.txt,DOWNLOADED,158
